               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.017183,            0.010819,                   0,             0.96037,             0.95488,             0.97968,             0.85903,            0.017004,           0.0031401,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.016942,            0.010903,                   0,             0.96081,             0.95197,             0.97968,             0.85925,            0.016994,           0.0031203,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.016993,            0.010881,                   0,              0.9655,             0.95245,             0.98017,             0.85534,            0.016991,           0.0030767,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.016791,            0.010866,                   0,             0.96226,             0.95251,             0.98035,             0.85862,            0.016819,           0.0031418,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.017087,             0.01077,                   0,             0.96185,              0.9573,              0.9797,             0.86096,            0.016728,           0.0032725,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.016583,            0.010852,                   0,             0.96283,             0.95525,             0.97942,             0.85934,            0.016676,           0.0033332,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.016654,            0.010782,                   0,             0.96309,             0.95294,             0.97908,             0.86077,            0.016719,           0.0032003,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.016294,            0.010366,                   0,             0.96265,             0.95245,             0.97904,             0.86327,            0.016476,           0.0031649,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.016356,            0.010559,                   0,             0.96362,             0.95391,              0.9791,             0.86135,            0.016524,            0.003235,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.016425,            0.010601,                   0,             0.96657,             0.95439,             0.97961,             0.86179,            0.016413,           0.0032781,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.016508,            0.010483,                   0,             0.97011,             0.94492,             0.97877,             0.86027,            0.016466,           0.0032816,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.016189,            0.010572,                   0,             0.96541,             0.95099,             0.97882,             0.86284,             0.01653,           0.0032904,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.016253,            0.010505,                   0,             0.96363,              0.9514,              0.9777,             0.86399,            0.016546,            0.003278,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.016389,            0.010503,                   0,             0.96982,             0.94469,             0.97848,             0.86227,            0.016538,           0.0031901,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.016257,            0.010422,                   0,             0.96053,             0.95439,             0.97901,             0.86393,            0.016482,           0.0031834,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.016046,            0.010381,                   0,             0.96024,             0.95391,             0.97934,             0.86522,            0.016542,           0.0031916,                   0,            0.000298,            0.000298,            0.000298
